Timestamp,En que ciudad te encuentras?,Que edad tienes,Cuál es el código postal desde donde sueles hacer tus pedidos de comida? (de tu domicilio o de tu trabajo),"Para tu comida de medio día, la mayoría de las veces...",Qué tan frecuente pides comida a domicilio?,"Cuando haces pedido de comida, qué tipo de comida sueles pedir?",Como te enteras del menú de la fondita o comida corrida cercana?,Cuál es el medio por el que haces tus pedidos?,Que es lo más difícil de hacer el pedido por este medio? ,Tus pedidos....,Avisan a que hora quieres recibir tu comida?,Normalmente como haces el pago de tu pedido?,"Te cobran extra, si es un pedido a domicilio?",Cuál es el límite de entrega (en cuadras a la redonda del negocio de comidas)?,Te gustaría conocer más locales de comida en tu colonia o delegación?,Quien lleva y entrega el pedido?,Han habido ocasiones en que no encuentran la dirección de entrega? Que es lo que haces en ese caso?,"Algún otro comentario, o limitación que tengas para poder conocer las alternativas de comida y hacer pedidos en tu colonia/delegación?"
2/18/2021 21:52:08,Ciudad de México,Entre 29 y 39 años de edad,15810,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",WhatsApp,"WhatsApp, APP móvil",,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,8 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food","Si, dar las instrucciones por teléfono ",
2/18/2021 22:06:51,Ciudad de Mexico,Entre 40 y 50 años de edad,03800,Comes fuera de casa / trabajo,3 a 5 veces por semana,Comida corrida / Comida a medio día,WhatsApp,WhatsApp,Hay que escribir mucho,Los recoges en el lugar,Sí,Contra entrega en efectivo,No,"No se, yo recojo el pedido",Sí,El dueño del lugar de comidas,Siempre encuentran,No
2/18/2021 22:07:20,Cdmx,Entre 29 y 39 años de edad,15830,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Postres / dulces",WhatsApp,"SMS, APP móvil",A veces se pierden las especificaciones del pedido ,Pides que te lo envíen a tu domicilio,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito",No,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, DIDI Food",Les marco por teléfono ,
2/18/2021 22:15:18,Ciudad de México,Entre 40 y 50 años de edad,05020,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,APP móvil,No me entienden,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,No,10 cuadras,Sí,El dueño del lugar de comidas,Le llamo y lo voy guiando,Ninguno
2/18/2021 22:18:46,JALISCO,Entre 40 y 50 años de edad,45653,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,Desayunos,WhatsApp,WhatsApp,Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,5 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Explicación más detallada,
2/18/2021 22:19:20,Saltillo,Entre 29 y 39 años de edad,25904,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, Visitan el local para hacer el pedido",Ninguno,Los recoges en el lugar,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Llamar y explicar,La comida en Saltillo es horrible.
2/18/2021 22:21:42,Cdmx,Entre 40 y 50 años de edad,08500,Preparas tu comida en casa,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",WhatsApp,WhatsApp,No me entienden,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Me marcan y trato de ubicarlos ,
2/18/2021 22:22:42,México,Entre 29 y 39 años de edad,07450,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",WhatsApp,WhatsApp,Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,,
2/18/2021 22:29:14,"Cuautitlán Izcalli, Edo. de México",mas de 50 años de edad,54744,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,"Teléfono, APP móvil",No me escuchan bien,Pides que te lo envíen a tu domicilio,No,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,Ignoro  como ponen límites   Es variable,Sí,"El dueño del lugar de comidas, UBER EATS",Por lo general donde pides se dan referencias ,
2/18/2021 22:38:42,Cuautitlán Izcalli,Entre 29 y 39 años de edad,54750,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, WhatsApp, Visitan el local para hacer el pedido, APP móvil",Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,8 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Orientarlos vía telefónica ,
